Season;Spec;Rank;Country;Confederation;Rider1;Rank1;Score1;Rider2;Rank2;Score2;Rider3;Rank3;Score3;Score
2025;OVERALL;31;South Africa;Confédération Africaine de Cyclisme;Louis Meintjes;319;66,92481203;Byron Munton;462;62,9122807;Alan Hatherly;476;62,5764411;64,13720323
2025;OVERALL;32;Luxembourg;Union Européenne de Cyclisme;Kevin Geniets;401;64,4962406;Bob Jungels;510;61,90726817;Mats Wenzel;627;59,39849624;61,93338233
2025;OVERALL;33;Uruguay;Confederación Panamericana de Ciclismo;Guillermo Thomas Silva;148;73,43358396;Eric Antonio Fagúndez;239;69,68170426;Mauricio Moreira;1299;40,10025063;61,07123556
2025;OVERALL;34;Sweden;Union Européenne de Cyclisme;Jakob Söderqvist;217;70,60651629;Lucas Eriksson;606;59,64912281;David Larsson;1009;50,12531328;60,12638286
2025;OVERALL;35;Slovakia;Union Européenne de Cyclisme;Lukáš Kubiš;163;72,93483709;Matthias Schwarzbacher;784;56,33333333;Martin Svrček;1045;48,62155388;59,2959818
2025;OVERALL;36;Venezuela;Confederación Panamericana de Ciclismo;Orluis Aular;176;72,43107769;Francisco Joel Peñuela;439;63,3358396;Roniel Campos;1299;40,10025063;58,62180308
2025;OVERALL;37;Iran;Asian Cycling Confederation;Saeid Safarzadeh;324;66,66917293;Hasan Seyfollahifard;667;58,58897243;Ali Labib Shotorban;1009;50,12531328;58,46056827
2025;OVERALL;38;Hungary;Union Européenne de Cyclisme;Attila Valter;602;59,89974937;Márton Dina;677;58,39598997;Bálint Feldhoffer;915;53,38345865;57,22582707
2025;OVERALL;39;Romania;Union Européenne de Cyclisme;Cristian Raileanu;271;68,42606516;Eduard-Michael Grosu;892;54,49373434;Mattew-Denis Piciu;1113;47,36842105;56,76217256
2025;OVERALL;40;Japan;Asian Cycling Confederation;Yukiya Arashiro;334;66,35087719;Atsushi Oka;956;52,23809524;Shiki Kuroeda;994;51,62907268;56,73878098
2025;OVERALL;41;Uzbekistan;Asian Cycling Confederation;Nikita Tsvetkov;580;60,24310777;Muradjan Khalmuratov;784;56,33333333;Dmitriy Bocharov;956;52,23809524;56,2709494
2025;OVERALL;42;Argentina;Confederación Panamericana de Ciclismo;Eduardo Sepúlveda;476;62,5764411;German Nicolás Tivani;696;58,15037594;Tomas Contte;1113;47,36842105;56,03118571
2025;OVERALL;43;Monaco;Union Européenne de Cyclisme;Victor Langellotti;112;75,20551378;Antoine Berlin;1113;47,36842105;#N/A;#N/A;40;54,1907697
2025;OVERALL;44;Mongolia;Asian Cycling Confederation;Jambaljamts Sainbayar;735;57,39348371;Tegsh-Bayar Batsaikhan;807;55,63909774;Maral-Erdene Batmunkh;1113;47,36842105;53,46646617
2025;OVERALL;45;Panama;Confederación Panamericana de Ciclismo;Roberto Carlos González;605;59,73684211;Carlos Samudio;989;51,90225564;#N/A;#N/A;40;50,54586045
2025;OVERALL;46;Rwanda;Confédération Africaine de Cyclisme;Vainqueur Masengesho;994;51,62907268;Eric Manizabayo;1033;48,87218045;Patrick Byukusenge;1113;47,36842105;49,2893985
2025;OVERALL;47;Finland;Union Européenne de Cyclisme;Jaakko Hänninen;757;56,89223058;Kasper Borremans;1009;50,12531328;Axel Källberg;1299;40,10025063;49,03877444
2025;OVERALL;48;Turkey;Union Européenne de Cyclisme;Tahir Yiğit;649;58,89724311;Ahmet Örken;1113;47,36842105;#N/A;#N/A;40;48,75473383
2025;OVERALL;49;Belarus;Union Européenne de Cyclisme;Raman Tsishkou;362;65,5037594;Uladzimir Harakhavik;1299;40,10025063;#N/A;#N/A;40;48,53418466
2025;OVERALL;51;Malaysia;Asian Cycling Confederation;Muhammad Nur Aiman Bin Rosli;1019;49,62406015;Mohamad Izzat Hilmi Abdul Halil;1047;47,86967419;Wan Abdul Rahman Hamdan;1113;47,36842105;48,28690226
2025;OVERALL;50;Guatemala;Confederación Panamericana de Ciclismo;Sergio Geovani Chumil;386;64,91478697;#N/A;#N/A;40;#N/A;#N/A;40;48,30444594
2025;OVERALL;52;South Korea;Asian Cycling Confederation;Jinwoong Kim;1033;48,87218045;Jongwon Lim;1047;47,86967419;Seunghwa Joung;1113;47,36842105;48,0362782
2025;OVERALL;53;Serbia;Union Européenne de Cyclisme;Dušan Rajović;472;62,6566416;Đorđe Đurić;1299;40,10025063;#N/A;#N/A;40;47,58515489
2025;OVERALL;54;Brazil;Confederación Panamericana de Ciclismo;Henrique da Silva Avancini;918;53,07518797;Nícolas Sessler;1113;47,36842105;Andrey Braguini;1299;40,10025063;46,84748474
2025;OVERALL;55;Greece;Union Européenne de Cyclisme;Georgios Bouglas;712;57,89473684;Nikiforos Arvanitou;1299;40,10025063;#N/A;#N/A;40;45,99786917
2025;OVERALL;56;Thailand;Asian Cycling Confederation;Sarawut Sirironnachai;1019;49,62406015;Thanakhan Chaiyasombat;1047;47,86967419;#N/A;#N/A;40;45,83078647
2025;OVERALL;57;Lithuania;Union Européenne de Cyclisme;Aivaras Mikutis;744;57,22807018;Mantas Balčiūnas;1299;40,10025063;#N/A;#N/A;40;45,77564917
2025;OVERALL;58;Indonesia;Asian Cycling Confederation;Dimas Nur Fadhil Rizqi;1047;47,86967419;Astnan Maulana;1113;47,36842105;Akhmad Fahreza Syahidin Abdillah;1299;40,10025063;45,11233083
2025;OVERALL;59;Malta;Union Européenne de Cyclisme;Andrea Mifsud;847;55,13784461;Aidan Buttigieg;1299;40,10025063;#N/A;#N/A;40;45,07891429
2025;OVERALL;60;Chile;Confederación Panamericana de Ciclismo;Vicente Rojas;924;52,73934837;Eyair Astudillo;1299;40,10025063;#N/A;#N/A;40;44,27942353
2025;OVERALL;61;Cyprus;Union Européenne de Cyclisme;Bogdan Zabelinskiy;1113;47,36842105;Alexandros Agrotis;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;China;Asian Cycling Confederation;Yongbing Gao;1113;47,36842105;Jiaqing Bai;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;Ethiopia;Confédération Africaine de Cyclisme;Desta Amaniel;1113;47,36842105;#N/A;#N/A;40;Negasi Haylu Abreha;1299;40,10025063;42,48913233
